OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-node-11065802179,und der böse Wolf,Hannover,Heesestraße 1,30449,52.3675610393,9.71554442125,2.5,https://www.openstreetmap.org/node/11065802179,https://www.openstreetmap.org/way/1191929829
osm-node-291268904,ælling,Hannover,Böhmerstraße 17,30173,52.35875717375001,9.755583892099999,3.5,https://www.openstreetmap.org/node/291268904,https://www.openstreetmap.org/way/960818309
osm-node-344447130,Alem,Hannover,Königstraße 7,30175,52.375557908000005,9.748050869,3.3,https://www.openstreetmap.org/node/344447130,https://www.openstreetmap.org/way/636056205
osm-node-2027779458,Alt Ricklingen,Hannover,Friedrich-Ebert-Straße 29,30459,52.34914224325,9.71969091785,3.7,https://www.openstreetmap.org/node/2027779458,https://www.openstreetmap.org/way/1118346702
osm-node-1258252239,Alte Liebe,Hannover,Seumestraße 7,30161,52.384704928,9.74942230015,2.5,https://www.openstreetmap.org/node/1258252239,https://www.openstreetmap.org/way/792539070
osm-node-4893977911,Bar 35,Hannover,Podbielskistraße 292,30655,52.40240922369999,9.79059055415,2.6,https://www.openstreetmap.org/node/4893977911,https://www.openstreetmap.org/way/1336006000
osm-node-13342959242,Bierstube Larifari,Hannover,Andreaestraße 2b,30159,52.375453011750004,9.7376048835,2.4,https://www.openstreetmap.org/node/13342959242,https://www.openstreetmap.org/way/124270957
osm-node-5706065881,Blacks,Hannover,Engelbosteler Damm 97,30167,52.39090074660001,9.7205374672,2.2,https://www.openstreetmap.org/node/5706065881,https://www.openstreetmap.org/way/148163683
osm-node-13061387485,Borsalino,Hannover,Winkelstraße 1,30559,52.3599918381,9.8555918848,3.1,https://www.openstreetmap.org/node/13061387485,https://www.openstreetmap.org/way/190601771
osm-node-3412538240,Butjer,Hannover,Falkenstraße 11A,30449,52.366982174899995,9.7182089,2.1,https://www.openstreetmap.org/node/3412538240,https://www.openstreetmap.org/way/1192929785
osm-node-11515954230,Champ,Hannover,Schmiedestraße 31,30159,52.373979521,9.734239346,2.2,https://www.openstreetmap.org/node/11515954230,https://www.openstreetmap.org/way/124270968
osm-node-11805060453,Chicago,Hannover,Herrenstraße 15,30159,52.37710950460001,9.7354415864,2.9,https://www.openstreetmap.org/node/11805060453,https://www.openstreetmap.org/way/329913830
osm-node-268809423,Das Ei,Hannover,Selmastraße 9,30451,52.37103037655,9.711465868200001,2.0,https://www.openstreetmap.org/node/268809423,https://www.openstreetmap.org/way/175663383
osm-node-311487509,Das kleine Fiasko,Hannover,Wilhelm-Bluhm-Straße 25,30451,52.376250962149996,9.7080232987,2.8,https://www.openstreetmap.org/node/311487509,https://www.openstreetmap.org/way/444033775
osm-node-8261651048,Delal Bar,Hannover,Am Klagesmarkt 18,30159,52.380121723,9.727150218850001,2.7,https://www.openstreetmap.org/node/8261651048,https://www.openstreetmap.org/way/1491876099
osm-node-5901741712,E-Damm-Stube,Hannover,Engelbosteler Damm 2,30167,52.382150680500004,9.726118220400002,2.8,https://www.openstreetmap.org/node/5901741712,https://www.openstreetmap.org/way/142214593
osm-node-3523360229,Elfi's Stübchen,Hannover,Stephanusstraße 5,30449,52.36817756320001,9.7143368638,2.3,https://www.openstreetmap.org/node/3523360229,https://www.openstreetmap.org/way/229892108
osm-node-267556344,Extrakt,Hannover,Hahnenstraße 3,30167,52.3865751469,9.719915801450002,3.0,https://www.openstreetmap.org/node/267556344,https://www.openstreetmap.org/way/1527658411
osm-node-3523360223,Fabrique,Hannover,Davenstedter Straße 23,30449,52.36718981440001,9.710421878200002,2.2,https://www.openstreetmap.org/node/3523360223,https://www.openstreetmap.org/way/169964854
osm-node-258771496,Finesse Lounge,Hannover,Podbielskistraße 98,30177,52.395170688099995,9.763788360500001,4.1,https://www.openstreetmap.org/node/258771496,https://www.openstreetmap.org/way/87839728
osm-node-12386645734,Flora,Hannover,Deisterstraße 16,30449,52.366810355,9.7193668296,3.9,https://www.openstreetmap.org/node/12386645734,https://www.openstreetmap.org/way/1126458125
