key,name,city,street,zip,category,lat,lng,chat_radius_km,boundary_clearance_m,pin_shift_m,source_url,building_source_url,website
osm-node-1137585768,Italia,Helmstedt,Papenberg 4,38350,14,52.2272590352,11.011351924,0.0021000000000000003,5.415819603512639,0.34637467637457203,https://www.openstreetmap.org/node/1137585768,https://www.openstreetmap.org/way/143200916,
osm-node-289790639,Pizza Ponti,Gifhorn,Calberlaher Damm 14,38518,14,52.4791885,10.55198115,0.0026,5.946846554037378,4.2245773716264985,https://www.openstreetmap.org/node/289790639,https://www.openstreetmap.org/way/269131836,https://www.pizzaponti.de
osm-node-670501894,Zum weißen Roß,Lehrte,Zum Großen Freien 9,31275,14,52.3649435388,9.90940188795,0.003,6.347286116023105,8.948961330628443,https://www.openstreetmap.org/node/670501894,https://www.openstreetmap.org/way/240184672,
osm-node-1515106042,Urfa,Braunschweig,Friedrich-Wilhelm-Straße 24,38100,14,52.2613567,10.5232149,0.0035,6.830483065599008,0.0,https://www.openstreetmap.org/node/1515106042,https://www.openstreetmap.org/way/129113797,http://urfa-braunschweig.de/
osm-node-10678397546,Vida Loca,Wolfsburg,Heinenkamp 4,38444,14,52.3698186,10.740383,0.004900000000000001,8.256640155886885,0.0,https://www.openstreetmap.org/node/10678397546,https://www.openstreetmap.org/way/29000866,
osm-node-501855397,"Bäckerei und Cafe ""Am Bahnhof""",Peine,Unter dem Spring 1,31228,5,52.338862929,10.17677764835,0.0021000000000000003,5.467584459428179,3.7182680995794444,https://www.openstreetmap.org/node/501855397,https://www.openstreetmap.org/way/529484648,
osm-node-9876651900,Finca Hannover,Hannover,Inge-Machts-Weg 2,30169,14,52.3559895,9.7316914,0.0024,5.798601106804018,0.0,https://www.openstreetmap.org/node/9876651900,https://www.openstreetmap.org/way/192215518,https://www.finca-hannover.de/
osm-node-1439724955,"Ristorante ""Alte Münze""",Hildesheim,Andreasplatz 16,31134,14,52.151577399999994,9.9490752,0.0027,6.049478412029316,3.429962554117107,https://www.openstreetmap.org/node/1439724955,https://www.openstreetmap.org/way/93442239,https://www.alte-muenze-hildesheim.de/
osm-node-1435011845,Sevens Cafe Lounge,Salzgitter,Heckenstraße 10,38226,5,52.1486762,10.3250567,0.0025,5.832599577842592,0.0,https://www.openstreetmap.org/node/1435011845,https://www.openstreetmap.org/way/130208099,
osm-node-314387513,Da Giovanni,Wolfenbüttel,Harzstraße 20,38300,14,52.1609631711,10.5376065703,0.0038,7.169393849418306,2.836575302415108,https://www.openstreetmap.org/node/314387513,https://www.openstreetmap.org/way/394372597,https://www.da-gio.de/
osm-node-3918916247,Fadi´s Kebab,Celle,Fuhrberger Landstraße 30,29225,14,52.6052853953,10.0209604758,0.0037,7.017885595566242,7.3892433342658235,https://www.openstreetmap.org/node/3918916247,https://www.openstreetmap.org/way/106634113,
osm-node-11494509910,1894 Bistro & Bar,Goslar,Rathausstraße 8,38644,14,51.85975002000001,10.340750798599998,0.004200000000000001,7.598650751616306,4.321778352946841,https://www.openstreetmap.org/node/11494509910,https://www.openstreetmap.org/way/749627963,https://www.1894bistrobar.de/
osm-node-1578172983,Meisterbäckerei Steinecke,Helmstedt,Neumärker Straße 24,38350,5,52.22762915,11.00675644705,0.002,5.371199675473143,4.767324512938754,https://www.openstreetmap.org/node/1578172983,https://www.openstreetmap.org/way/141871442,
