OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-way-67013002,Stadtbibliothek Celle - Hauptstelle,Celle,Arno-Schmidt-Platz 1,29221,52.62158017305,10.07894391665,5.1,https://www.openstreetmap.org/way/67013002,https://www.openstreetmap.org/way/67013002
osm-way-794569138,Pizza Roma,Goslar,Bahnhofstraße 26,38642,51.901960822599996,10.4820617526,2.0,https://www.openstreetmap.org/way/794569138,https://www.openstreetmap.org/way/794569138
osm-way-314485834,Konditorei Pöthig,Gifhorn,Braunschweiger Straße 88,38518,52.471514885,10.542757846,2.0,https://www.openstreetmap.org/way/314485834,https://www.openstreetmap.org/way/314485834
osm-way-154250063,Velanidia,Braunschweig,Brinkstraße 5,38122,52.235819262700005,10.4751062114,2.8,https://www.openstreetmap.org/way/154250063,https://www.openstreetmap.org/way/154250063
osm-way-32395674,Lou's,Wolfsburg,Friederikenring 5,38448,52.4390353353,10.829183739999998,7.6,https://www.openstreetmap.org/way/32395674,https://www.openstreetmap.org/way/32395674
osm-node-335497413,Paulaner am Thielenplatz,Hannover,Prinzenstraße 1,30159,52.3741178,9.7440479,2.4,https://www.openstreetmap.org/node/335497413,https://www.openstreetmap.org/way/185852898
osm-node-275601557,India Haus,Hildesheim,Schuhstraße 52,31134,52.1503041189,9.953325617,3.0,https://www.openstreetmap.org/node/275601557,https://www.openstreetmap.org/way/201333086
osm-node-535435694,"Familiencafe ""Kleine Auszeit""",Wolfenbüttel,Kommißstraße 9b,38300,52.161450520799995,10.534796797,3.9,https://www.openstreetmap.org/node/535435694,https://www.openstreetmap.org/way/394372632
osm-way-217407122,Die 7 Brüder,Celle,Altenceller Schneede 3,29221,52.6066663,10.100650850000001,4.8,https://www.openstreetmap.org/way/217407122,https://www.openstreetmap.org/way/217407122
osm-way-187199245,Ratsstuben,Goslar,Rathausstraße 1a,38644,51.85803772239999,10.3400426129,3.2,https://www.openstreetmap.org/way/187199245,https://www.openstreetmap.org/way/187199245
osm-way-198138841,Saustall,Gifhorn,Wittkopsweg 18,38518,52.484975686300004,10.52082940915,4.3,https://www.openstreetmap.org/way/198138841,https://www.openstreetmap.org/way/198138841
osm-way-148399532,Zum Eichenwald,Braunschweig,Salzdahlumer Straße 313,38126,52.22253061,10.564665675599999,4.2,https://www.openstreetmap.org/way/148399532,https://www.openstreetmap.org/way/148399532
osm-way-96931430,Mediterran,Wolfsburg,Mecklenburger Straße 100,38440,52.411797399899996,10.7451658326,6.4,https://www.openstreetmap.org/way/96931430,https://www.openstreetmap.org/way/96931430
osm-node-137980116,Schauspielhaus,Hannover,Prinzenstraße 9,30159,52.3734568,9.7439211,6.5,https://www.openstreetmap.org/node/137980116,https://www.openstreetmap.org/way/553781822
osm-way-270107207,Kalimera,Celle,Mummenhofstraße 40,29229,52.650340153900004,10.099675052999999,3.5,https://www.openstreetmap.org/way/270107207,https://www.openstreetmap.org/way/270107207
osm-way-186605459,Seerose,Goslar,Parkstraße 4-6,38644,51.8578144896,10.33873033345,8.1,https://www.openstreetmap.org/way/186605459,https://www.openstreetmap.org/way/186605459
osm-way-278782504,Zum Isetal,Gifhorn,Im Winkel 4,38518,52.519626724999995,10.541376767,3.0,https://www.openstreetmap.org/way/278782504,https://www.openstreetmap.org/way/278782504
osm-way-34103193,Zur Freundschaft,Braunschweig,Georg-Westermann-Allee 36,38104,52.264606278799995,10.561481209050001,4.3,https://www.openstreetmap.org/way/34103193,https://www.openstreetmap.org/way/34103193
